Feature,Importance
Pre5_Molecular Weight,0.056492724
Bit_456,0.043794435
Bit_831,0.04050197
Bit_1917,0.036091883
Pre1_Molecular Weight,0.030944817
Pre1_-OH,0.029326648
Pre2_N,0.028874138
Pre1_N,0.025731692
Pre2_-OH,0.023774019
Bit_680,0.023605546
Bit_298,0.019343525
Pre1_C,0.018679416
Pre1_TPSA,0.016735729
Pre2_TPSA,0.01673502
Test_O,0.01664197
Bit_2036,0.016293159
Ex,0.016029352
Bit_1873,0.015563503
Bit_875,0.015408955
Bit_1357,0.014993129
Bit_1925,0.014935941
Pre1_Amino,0.013158214
Bit_1039,0.012974589
Bit_352,0.012768596
Test_H,0.011988343
Pre1_Boiling Point,0.011920535
Bit_1922,0.011747623
Test_-COOH,0.011724197
Bit_321,0.011607936
Step_1_Time,0.010483957
Bit_1855,0.010161467
Bit_1984,0.009882055
Bit_1750,0.009709112
Pre1_-COOH,0.008107233
Bit_851,0.008043555
Pre1_Log P,0.007941856
Bit_378,0.00792977
Bit_725,0.007782843
Bit_750,0.007456076
Bit_246,0.007329349
Bit_1471,0.007236629
Test_-OH,0.007230563
Bit_1380,0.007044297
Pre1_Molar Amount,0.006902134
Pre2_Melting Point,0.005465705
Pre2_O,0.00524059
Bit_1747,0.005213257
Bit_701,0.005054231
